player_id,player_display_name,player_name,position,position_group,team,season,week,season_type,attempts,completions,passing_yards,passing_tds,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,passing_epa,rushing_epa,receiving_epa,target_share,air_yards_share,wopr,macabets_performance_cap,macabets_requested_season,macabets_active_season,macabets_is_fallback
00-0030757,Mike Pennel,M.Pennel,DT,DL,CIN,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0031040,Khalil Mack,K.Mack,OLB,LB,LAC,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0031054,DaQuan Jones,D.Jones,DT,DL,BUF,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0031136,Chris Boswell,C.Boswell,K,SPEC,PIT,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0031203,Cairo Santos,C.Santos,K,SPEC,CHI,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0031236,Brandin Cooks,B.Cooks,WR,WR,NO,2025,1,REG,0,0,0,0,0,0,0,4,3,26,0,,,1.5354513814090751,0.0975609756097561,0.05357142857142857,0.18384146341463417,0.2,2026,2025,True
00-0031270,Shelby Harris,S.Harris,DE,DL,CLE,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0031360,Kyle Van Noy,K.Van Noy,MLB,LB,BAL,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0031381,Davante Adams,D.Adams,WR,WR,LA,2025,1,REG,0,0,0,0,0,0,0,8,4,51,0,,,3.7512083055917174,0.2857142857142857,0.30973451327433627,0.6453855878634639,0.2,2026,2025,True
00-0031408,Mike Evans,M.Evans,WR,WR,TB,2025,1,REG,0,0,0,0,0,0,0,8,5,51,0,,,3.750426472002874,0.26666666666666666,0.31736526946107785,0.6221556886227545,0.2,2026,2025,True
00-0031411,DeMarcus Lawrence,D.Lawrence,LB,LB,SEA,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0031492,Jason Myers,J.Myers,K,SPEC,SEA,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0031550,Shaq Thompson,S.Thompson,OLB,LB,BUF,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0031551,Eddie Goldman,E.Goldman,NT,DL,WAS,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0031565,Danielle Hunter,D.Hunter,DE,DL,HOU,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0031583,Grady Jarrett,G.Jarrett,DT,DL,CHI,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0031588,Stefon Diggs,S.Diggs,WR,WR,NE,2025,1,REG,0,0,0,0,0,0,0,7,6,57,0,,,0.6449347106691947,0.15555555555555556,0.17280453257790368,0.3542965061378659,0.2,2026,2025,True
00-0031608,Quandre Diggs,Q.Diggs,S,DB,TEN,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0031763,DeAndre Carter,D.Carter,WR,WR,CLE,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0031898,Alex Singleton,A.Singleton,LB,LB,DEN,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0031933,Leonard Williams,L.Williams,DE,DL,SEA,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0031957,Rakeem Nunez-Roches,R.Nunez-Roches,DT,DL,NYG,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0032052,Dante Fowler Jr.,D.Fowler,DE,DL,DAL,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0032065,Bradley Pinion,B.Pinion,P,SPEC,ATL,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0032146,Bud Dupree,B.Dupree,OLB,LB,LAC,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0032164,Arik Armstead,A.Armstead,DE,DL,JAX,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0032211,Tyler Lockett,T.Lockett,WR,WR,TEN,2025,1,REG,0,0,0,0,0,0,0,1,0,0,0,,,-0.5364842391572893,0.04,0.05442176870748299,0.0980952380952381,0.2,2026,2025,True
00-0032234,Laken Tomlinson,L.Tomlinson,G,OL,HOU,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
