evaluation,n,accuracy,log_loss,brier
2025_core,2380,0.6466386554621849,0.6269915822602116,0.21912873588205778
2025_conservative_candidate,2380,0.6474789915966387,0.6255240774234567,0.2185465914112986
2026_core,1943,0.6428203808543489,0.6250129270997002,0.21816964383360632
2026_conservative_candidate,1943,0.6448790530108081,0.6226333429135804,0.21721546351244522
