step,feature,multiplier,train_log_loss,test_log_loss,test_accuracy,test_brier
1,transition,1.5,0.6226559871295059,0.6235855979499035,0.6474523932063819,0.21756151930522769
2,form,1.5,0.6223237802714496,0.6234601241393912,0.649511065362841,0.217554753777034
3,pressure,1.5,0.6221879849238467,0.6233516806739815,0.6464230571281523,0.21757282252976123
4,surface_win,0.5,0.6221734857248927,0.6231684697198783,0.6469377251672671,0.21748709822156853
5,opp_strength,0.2,0.6221713116368192,0.6232075772658558,0.6459083890890376,0.21750056471455273
