year,surface,n_total,n_available,coverage,core_log_loss,current_sr_log_loss,current_delta_log_loss,best_in_sample_multiplier,best_in_sample_delta_log_loss
2024,Clay,767,0,0.0,,,,,
2024,Grass,287,0,0.0,,,,,
2024,Hard,1432,0,0.0,,,,,
2024,ALL,2486,0,0.0,,,,,
2025,Clay,681,0,0.0,,,,,
2025,Grass,272,0,0.0,,,,,
2025,Hard,1427,0,0.0,,,,,
2025,ALL,2380,0,0.0,,,,,
2026,Clay,653,36,0.055130168453292494,0.7098933931401521,0.7145493403605487,0.004655947220396639,-2.0,-0.008554301274025455
2026,Grass,300,80,0.26666666666666666,0.626332550964776,0.624963117704844,-0.0013694332599319958,3.0000000000000044,-0.0033648770763990976
2026,Hard,990,324,0.32727272727272727,0.6551517703362717,0.653486009947608,-0.0016657603886637284,3.0000000000000044,-0.0033519644142999683
2026,ALL,1943,440,0.22645393721049922,0.6543907723163173,0.6532961202099824,-0.001094652106334859,2.8000000000000043,-0.0018831490932116335
