period,model,n,accuracy,log_loss,brier,mean_confidence,delta_accuracy_vs_core,delta_log_loss_vs_core,delta_brier_vs_core
ALL,p_core,6809,0.6464972830077839,0.6239466377804427,0.2178106325896676,0.6389914127309496,0.0,0.0,0.0
ALL,p_v098_safe,6809,0.6479659274489646,0.6227279508879714,0.2172904088503639,0.6417096886532935,0.0014686444411807775,-0.001218686892471288,-0.0005202237393036879
ALL,p_v098_rounded,6809,0.6473784696724922,0.6227452279008426,0.21729858304409022,0.6417152992450591,0.0008811866647083777,-0.001201409879600046,-0.0005120495455773755
ALL,p_v097_proxy,6809,0.6425319430165957,0.6255738174564581,0.21836958496245365,0.6321297755039372,-0.003965339991188199,0.0016271796760154444,0.0005589523727860535
2024,p_core,2486,0.6492357200321802,0.6201981389835126,0.21626813673976347,0.6390002850850117,0.0,0.0,0.0
2024,p_v098_safe,2486,0.6488334674175382,0.6192370577995879,0.21581844511313403,0.6424211327893004,-0.0004022526146419958,-0.0009610811839246836,-0.00044969162662944484
2024,p_v098_rounded,2486,0.6476267095736122,0.6192646354823076,0.21583039808699686,0.6424237395790886,-0.0016090104585679832,-0.0009335035012050241,-0.0004377386527666116
2024,p_v097_proxy,2486,0.6472244569589702,0.621383019194131,0.21654533372697912,0.6318912098140982,-0.002011263073209979,0.0011848802106183554,0.0002771969872156499
2025,p_core,2380,0.6466386554621849,0.6269915822602116,0.21912873588205778,0.6441254375410491,0.0,0.0,0.0
2025,p_v098_safe,2380,0.6478991596638656,0.625985521401945,0.21870709298004515,0.6469892336540339,0.0012605042016806678,-0.0010060608582665997,-0.0004216429020126311
2025,p_v098_rounded,2380,0.6478991596638656,0.6259780076496201,0.21870358443438426,0.6469978487087972,0.0012605042016806678,-0.0010135746105914833,-0.00042515144767352187
2025,p_v097_proxy,2380,0.6386554621848739,0.6275933881206945,0.21928820618512415,0.6363266429391419,-0.007983193277311007,0.0006018058604829735,0.00015947030306637244
2026,p_core,1943,0.6428203808543489,0.6250129270997002,0.21816964383360632,0.6326913428800828,0.0,0.0,0.0
2026,p_v098_safe,1943,0.6469377251672671,0.6232041950436399,0.2174384240959182,0.6343324538494463,0.004117344312918214,-0.0018087320560603581,-0.0007312197376881102
2026,p_v098_rounded,1943,0.6464230571281523,0.623238659167126,0.21745607377720103,0.6343382275033742,0.0036026762738033957,-0.0017742679325742916,-0.0007135700564052938
2026,p_v097_proxy,1943,0.6412763767370047,0.6284620039203093,0.2195784218443033,0.627294227284253,-0.0015440041173442332,0.0034490768206090205,0.0014087780106969705
