player_name,team_abbr,position,position_family,overall,trait_grade,performance_grade,performance_weight,availability_adjustment,macabets_rating,rating_confidence,rating_source,roster_status,injury_status,gsis_id,depth_chart_team_override
Elijah Jones,ARI,CB,DB,71.0,72.01,,0.0,0.0,72.01,baseline,Madden 27 baseline,ACT,,00-0039823,False
Isaiah Adams,ARI,RG,OL,70.0,71.67,,0.0,0.0,71.67,baseline,Madden 27 baseline,ACT,,00-0039808,False
Darius Robinson,ARI,DT,DL,70.0,71.31,,0.0,0.0,71.31,baseline,Madden 27 baseline,ACT,,00-0039854,False
Carson Beck,ARI,QB,QB,68.0,71.0,,0.0,0.0,71.0,baseline,Madden 27 baseline,RES,,00-0041561,False
Cody Simon,ARI,LB,LB,70.0,70.99,,0.0,0.0,70.99,baseline,Madden 27 baseline,ACT,,00-0040645,False
Jalen Brooks,ARI,WR,WR,67.0,69.83,57.99372384937239,0.008,0.0,69.74,baseline,Madden 27 + nflverse performance,ACT,,00-0038640,False
L.J. Collier,ARI,DT,DL,68.0,69.54,,0.0,0.0,69.54,baseline,Madden 27 baseline,ACT,,00-0035636,False
Simi Fehoko,ARI,WR,WR,67.0,69.51,50.4142259414226,0.0,0.0,69.51,baseline,Madden 27 baseline,ACT,,00-0036646,False
Ihmir Smith-Marsette,ARI,WR,WR,67.0,69.42,,0.0,0.0,69.42,baseline,Madden 27 baseline,ACT,,00-0036635,False
Jonah Williams,ARI,DT,DL,68.0,69.37,,0.0,0.0,69.37,baseline,Madden 27 baseline,ACT,,00-0035944,False
Jon Gaines II,ARI,LG,OL,68.0,69.24,,0.0,0.0,69.24,baseline,Madden 27 baseline,ACT,,00-0038571,False
Christian Jones,ARI,LT,OL,67.0,68.98,,0.0,0.0,68.98,baseline,Madden 27 baseline,ACT,,00-0041245,False
Olisaemeka Udoh,ARI,RT,OL,67.0,68.71,,0.0,0.0,68.71,baseline,Madden 27 baseline,ACT,,00-0034994,False
Owen Pappoe,ARI,LB,LB,67.0,68.47,,0.0,0.0,68.47,baseline,Madden 27 baseline,ACT,,00-0038600,False
Xavier Weaver,ARI,WR,WR,66.0,68.28,60.523012552301246,0.017333333333333336,0.0,68.15,baseline,Madden 27 + nflverse performance,ACT,,00-0039521,False
Elijah Higgins,ARI,TE,TE,68.0,67.69,74.06617647058825,0.061666666666666675,0.0,68.08,baseline,Madden 27 + nflverse performance,ACT,,00-0039041,False
Demontrey Jacobs,ARI,RT,OL,66.0,67.99,,0.0,0.0,67.99,baseline,Madden 27 baseline,ACT,,00-0038792,False
Zach Carter,ARI,DT,DL,66.0,67.75,,0.0,0.0,67.75,baseline,Madden 27 baseline,,,,False
Karson Sharar,ARI,LB,LB,66.0,67.6,,0.0,0.0,67.6,baseline,Madden 27 baseline,ACT,,00-0041093,False
Kitan Crawford,ARI,SS,DB,66.0,67.45,,0.0,0.0,67.45,baseline,Madden 27 baseline,ACT,,00-0040230,False
Jayden Williams,ARI,RT,OL,65.0,67.17,,0.0,0.0,67.17,baseline,Madden 27 baseline,ACT,,00-0041113,False
Casey Kreiter,ARI,LS,ST,70.0,67.0,,0.0,0.0,67.0,baseline,Madden 27 baseline,ACT,,00-0030957,False
PJ Mustipher,ARI,DT,DL,65.0,66.31,,0.0,0.0,66.31,baseline,Madden 27 baseline,ACT,,00-0038795,False
Tip Reiman,ARI,TE,TE,65.0,66.03,58.75735294117647,0.008333333333333333,0.0,65.97,baseline,Madden 27 + nflverse performance,ACT,,00-0039737,False
Hayden Conner,ARI,C,OL,63.0,65.35,,0.0,0.0,65.35,baseline,Madden 27 baseline,ACT,,00-0040219,False
Josh Fryar,ARI,LT,OL,63.0,65.01,,0.0,0.0,65.01,baseline,Madden 27 baseline,ACT,,00-0040382,False
Joey Blount,ARI,FS,DB,63.0,65.0,,0.0,0.0,65.0,baseline,Madden 27 baseline,ACT,,00-0037141,False
Austin Keys,ARI,LB,LB,63.0,64.89,,0.0,0.0,64.89,baseline,Madden 27 baseline,ACT,,00-0040501,False
Teagan Quitoriano,ARI,TE,TE,63.0,64.74,51.44485294117647,0.0,0.0,64.74,baseline,Madden 27 baseline,ACT,,00-0037277,False
Eku Leota,ARI,EDGE,DL,62.0,63.91,,0.0,0.0,63.91,baseline,Madden 27 baseline,ACT,,00-0038782,False
Bijan Robinson,ATL,HB,RB,95.0,93.73,93.04113924050633,0.2,0.0,93.59,medium,Madden 27 + nflverse performance,ACT,,00-0038542,False
Chris Lindstrom,ATL,RG,OL,93.0,92.07,,0.0,0.0,92.07,baseline,Madden 27 baseline,ACT,,00-0035630,False
Jessie Bates III,ATL,FS,DB,94.0,92.03,,0.0,0.0,92.03,baseline,Madden 27 baseline,ACT,,00-0034675,False
Drake London,ATL,WR,WR,92.0,91.24,88.87447698744771,0.14933333333333335,0.0,90.89,medium,Madden 27 + nflverse performance,ACT,,00-0037238,False
A.J. Terrell Jr,ATL,CB,DB,88.0,88.4,,0.0,0.0,88.4,baseline,Madden 27 baseline,ACT,,00-0036285,False
Jake Matthews,ATL,LT,OL,89.0,88.26,,0.0,0.0,88.26,baseline,Madden 27 baseline,ACT,,00-0031279,False
Nick Folk,ATL,K,ST,85.0,88.0,,0.0,0.0,88.0,baseline,Madden 27 baseline,ACT,,00-0025565,False
Ryan Neuzil,ATL,C,OL,82.0,82.97,,0.0,0.0,82.97,baseline,Madden 27 baseline,ACT,,00-0036833,False
Kyle Pitts Sr,ATL,TE,TE,81.0,79.09,91.27941176470587,0.19666666666666666,0.0,81.49,medium,Madden 27 + nflverse performance,ACT,,00-0036970,False
