tourney_date,tourney_name,surface,tourney_level,round,winner_name,loser_name,winner_rank,loser_rank,score,winner_age,loser_age,w_ace,l_ace,w_df,l_df,w_svpt,l_svpt,w_1stIn,l_1stIn,w_1stWon,l_1stWon,w_2ndWon,l_2ndWon,w_SvGms,l_SvGms,w_bpSaved,l_bpSaved,w_bpFaced,l_bpFaced
20220103,Adelaide International 1,Hard,A,R128,Kwon S.W.,Nishioka Y.,53,81.0,6-1 6-2,,,,,,,,,,,,,,,,,,,,
20220103,Adelaide International 1,Hard,A,R128,Monteiro T.,Altmaier D.,89,84.0,6-2 3-6 7-6,,,,,,,,,,,,,,,,,,,,
20220103,Adelaide International 1,Hard,A,R128,Djere L.,Carballes Baena R.,52,79.0,7-5 7-6,,,,,,,,,,,,,,,,,,,,
20220103,Adelaide International 1,Hard,A,R128,Johnson S.,Vukic A.,85,156.0,6-4 2-6 6-4,,,,,,,,,,,,,,,,,,,,
20220104,Adelaide International 1,Hard,A,R128,Moutet C.,Rune H.,92,103.0,7-6 6-4,,,,,,,,,,,,,,,,,,,,
20220104,Adelaide International 1,Hard,A,R128,Daniel T.,Musetti L.,125,59.0,6-4 6-7 6-3,,,,,,,,,,,,,,,,,,,,
20220104,Adelaide International 1,Hard,A,R128,Gerasimov E.,Fucsovics M.,113,40.0,6-3 6-4,,,,,,,,,,,,,,,,,,,,
20220104,Adelaide International 1,Hard,A,R128,Ymer M.,Bonzi B.,94,64.0,7-5 7-5,,,,,,,,,,,,,,,,,,,,
20220104,Adelaide International 1,Hard,A,R128,Cerundolo J.M.,Bolt A.,90,137.0,6-2 6-4,,,,,,,,,,,,,,,,,,,,
20220104,Adelaide International 1,Hard,A,R128,Paul T.,Vesely J.,43,83.0,6-4 4-6 6-4,,,,,,,,,,,,,,,,,,,,
20220104,Adelaide International 1,Hard,A,R128,Mager G.,Cerundolo F.,62,127.0,6-4 3-6 6-4,,,,,,,,,,,,,,,,,,,,
20220104,Adelaide International 1,Hard,A,R128,Kokkinakis T.,Millman J.,171,72.0,6-4 6-3,,,,,,,,,,,,,,,,,,,,
20220105,Adelaide International 1,Hard,A,R64,Djere L.,Moutet C.,52,92.0,4-6 7-5,,,,,,,,,,,,,,,,,,,,
20220105,Adelaide International 1,Hard,A,R64,Cilic M.,Monteiro T.,30,89.0,6-4 7-6,,,,,,,,,,,,,,,,,,,,
20220105,Adelaide International 1,Hard,A,R64,Ymer M.,Kwon S.W.,94,53.0,6-3 6-2,,,,,,,,,,,,,,,,,,,,
20220105,Adelaide International 1,Hard,A,R64,Kokkinakis T.,Tiafoe F.,171,38.0,3-6 7-5 6-1,,,,,,,,,,,,,,,,,,,,
20220106,Adelaide International 1,Hard,A,R64,Paul T.,Daniel T.,43,125.0,6-4 6-7 6-4,,,,,,,,,,,,,,,,,,,,
20220106,Adelaide International 1,Hard,A,R64,Gerasimov E.,Mager G.,113,62.0,6-1 3-6 6-3,,,,,,,,,,,,,,,,,,,,
20220106,Adelaide International 1,Hard,A,R64,Khachanov K.,Johnson S.,29,85.0,6-4 4-6 6-2,,,,,,,,,,,,,,,,,,,,
20220106,Adelaide International 1,Hard,A,R64,Monfils G.,Cerundolo J.M.,21,90.0,6-2 6-1,,,,,,,,,,,,,,,,,,,,
20220107,Adelaide International 1,Hard,A,QF,Cilic M.,Djere L.,30,52.0,6-3 6-2,,,,,,,,,,,,,,,,,,,,
20220107,Adelaide International 1,Hard,A,QF,Monfils G.,Paul T.,21,43.0,6-4 6-1,,,,,,,,,,,,,,,,,,,,
20220107,Adelaide International 1,Hard,A,QF,Khachanov K.,Gerasimov E.,29,113.0,7-5 6-3,,,,,,,,,,,,,,,,,,,,
