tourney_date,tourney_name,surface,tourney_level,round,winner_name,loser_name,winner_rank,loser_rank,score,winner_age,loser_age,w_ace,l_ace,w_df,l_df,w_svpt,l_svpt,w_1stIn,l_1stIn,w_1stWon,l_1stWon,w_2ndWon,l_2ndWon,w_SvGms,l_SvGms,w_bpSaved,l_bpSaved,w_bpFaced,l_bpFaced
20241229,Brisbane International,Hard,A,R128,Vukic A.,Goffin D.,68,52.0,6-2 6-3,,,,,,,,,,,,,,,,,,,,
20241230,Brisbane International,Hard,A,R128,Michelsen A.,O Connell C.,41,64.0,6-4 4-6 7-6,,,,,,,,,,,,,,,,,,,,
20241230,Brisbane International,Hard,A,R128,Bonzi B.,Tabilo A.,75,23.0,6-7 7-6 6-4,,,,,,,,,,,,,,,,,,,,
20241230,Brisbane International,Hard,A,R128,Nishioka Y.,Rinderknech A.,69,59.0,6-3 6-4,,,,,,,,,,,,,,,,,,,,
20241230,Brisbane International,Hard,A,R128,Thompson J.,Berrettini M.,26,34.0,3-6 6-3 6-4,,,,,,,,,,,,,,,,,,,,
20241230,Brisbane International,Hard,A,R128,Jarry N.,Navone M.,35,47.0,7-5 7-6,,,,,,,,,,,,,,,,,,,,
20241230,Brisbane International,Hard,A,R128,Dimitrov G.,Hanfmann Y.,10,96.0,7-6 6-3,,,,,,,,,,,,,,,,,,,,
20241230,Brisbane International,Hard,A,R128,Lehecka J.,Rune H.,28,13.0,7-5 6-3,,,,,,,,,,,,,,,,,,,,
20241231,Brisbane International,Hard,A,R128,Opelka R.,Gomez F.,293,137.0,7-5 6-4,,,,,,,,,,,,,,,,,,,,
20241231,Brisbane International,Hard,A,R128,Arnaldi M.,Popyrin A.,37,24.0,6-3 6-2,,,,,,,,,,,,,,,,,,,,
20241231,Brisbane International,Hard,A,R128,Tiafoe F.,Walton A.,18,93.0,7-6 6-3,,,,,,,,,,,,,,,,,,,,
20241231,Brisbane International,Hard,A,R128,Mensik J.,Kukushkin M.,48,113.0,7-6 6-4,,,,,,,,,,,,,,,,,,,,
20241231,Brisbane International,Hard,A,R128,Lajovic D.,Cazaux A.,81,63.0,6-4 6-4,,,,,,,,,,,,,,,,,,,,
20241231,Brisbane International,Hard,A,R128,Mpetshi G.,Kyrgios N.,31,,7-6 6-7 7-6,,,,,,,,,,,,,,,,,,,,
20241231,Brisbane International,Hard,A,R128,Monfils G.,Basavareddy N.,55,138.0,6-4 4-6 6-1,,,,,,,,,,,,,,,,,,,,
20241231,Brisbane International,Hard,A,R128,Djokovic N.,Hijikata R.,7,73.0,6-3 6-3,,,,,,,,,,,,,,,,,,,,
20250101,Brisbane International,Hard,A,R64,Lehecka J.,Nishioka Y.,28,69.0,6-2 6-7 6-4,,,,,,,,,,,,,,,,,,,,
20250101,Brisbane International,Hard,A,R64,Jarry N.,Bonzi B.,35,75.0,6-2 6-3,,,,,,,,,,,,,,,,,,,,
20250101,Brisbane International,Hard,A,R64,Dimitrov G.,Vukic A.,10,68.0,6-2 7-6,,,,,,,,,,,,,,,,,,,,
