fighter,division,macabets_rating,strength_score,raw_elo,global_elo,division_elo,division_fights,recent_form_score,recent_form_adjusted,schedule_rating,ranking_confidence,ufc_wins,ufc_losses,ufc_draws,ufc_finishes,recent_fights_4y,last_fight_date,days_inactive,inactivity_penalty,active_pool,division_rank
Merab Dvalishvili,Men’s Bantamweight,1633.49,68.7,1661.99,1661.99,1625.13,16,72.0,66.0,1612.72,96.1,14,3,0,2,8,2025-12-06,254,0.0,True,1
Sean O'Malley,Men’s Bantamweight,1615.77,66.4,1635.56,1635.56,1614.91,15,74.4,67.7,1614.94,95.9,12,3,0,7,7,2026-06-14,64,0.0,True,2
Petr Yan,Men’s Bantamweight,1614.11,66.2,1630.58,1630.58,1604.02,16,88.4,77.9,1617.63,96.1,12,4,0,4,6,2025-12-06,254,0.0,True,3
Mario Bautista,Men’s Bantamweight,1609.45,65.6,1628.57,1628.57,1608.05,15,83.2,74.2,1564.22,95.9,12,3,0,5,9,2026-07-11,37,0.0,True,4
Umar Nurmagomedov,Men’s Bantamweight,1596.37,63.8,1614.23,1614.23,1581.5,8,84.8,75.3,1592.45,93.0,8,1,0,3,6,2026-01-24,205,0.0,True,5
Song Yadong,Men’s Bantamweight,1592.14,63.2,1614.87,1614.87,1575.91,15,62.8,59.3,1588.93,95.9,12,4,1,7,7,2026-05-30,79,0.0,True,6
Farid Basharat,Men’s Bantamweight,1585.75,62.4,1600.65,1600.65,1576.0,6,100.0,85.0,1528.47,91.2,7,0,0,1,7,2026-07-11,37,0.0,True,7
Raoni Barcelos,Men’s Bantamweight,1584.89,62.2,1596.24,1596.24,1575.3,14,92.7,81.1,1551.07,95.6,11,4,0,4,8,2026-04-25,114,0.0,True,8
Bryce Mitchell,Men’s Bantamweight,1567.98,59.9,1591.98,1591.98,1529.04,2,75.2,68.3,1547.85,82.5,10,3,0,3,7,2026-06-06,72,0.0,True,9
Cory Sandhagen,Men’s Bantamweight,1567.98,59.9,1592.41,1592.41,1553.19,15,27.7,33.8,1615.36,95.9,11,6,0,7,7,2026-07-11,37,0.0,True,10
Aiemann Zahabi,Men’s Bantamweight,1563.9,59.3,1578.1,1578.1,1554.55,10,63.9,60.1,1562.86,94.2,8,3,0,2,6,2026-06-14,64,0.0,True,11
Raul Rosas Jr.,Men’s Bantamweight,1563.75,59.3,1571.22,1571.22,1563.66,7,95.3,81.7,1503.32,92.2,6,1,0,3,7,2026-03-07,163,0.0,True,12
Deiveson Figueiredo,Men’s Bantamweight,1559.59,58.7,1591.85,1591.85,1512.36,8,30.2,35.6,1593.48,93.0,14,7,1,8,9,2026-05-30,79,0.0,True,13
Montel Jackson,Men’s Bantamweight,1557.47,58.4,1574.45,1574.45,1562.07,13,38.5,41.6,1557.4,95.3,9,4,0,4,6,2026-04-25,114,0.0,True,14
Chris Gutierrez,Men’s Bantamweight,1555.57,58.1,1578.08,1578.08,1535.93,12,51.9,51.4,1542.98,95.0,10,4,1,3,7,2025-10-04,317,1.7,True,15
Payton Talbott,Men’s Bantamweight,1551.21,57.5,1562.93,1562.93,1551.63,6,83.3,72.2,1534.24,86.7,5,1,0,3,6,2025-12-06,254,0.0,True,16
Daniel Marcos,Men’s Bantamweight,1551.01,57.4,1563.36,1563.36,1555.46,6,75.9,67.3,1542.89,86.7,5,1,0,2,7,2025-11-08,282,0.0,True,17
Adrian Yanez,Men’s Bantamweight,1549.67,57.3,1557.93,1557.93,1551.07,11,63.5,59.9,1540.43,94.6,7,3,1,6,6,2026-07-11,37,0.0,True,18
Marcus McGhee,Men’s Bantamweight,1546.55,56.8,1560.38,1560.38,1542.21,5,76.1,67.4,1528.63,85.4,5,1,0,3,6,2026-06-06,72,0.0,True,19
Ricky Simon,Men’s Bantamweight,1544.73,56.5,1558.29,1558.29,1540.56,16,45.7,46.9,1543.45,96.1,10,6,1,5,7,2026-03-28,142,0.0,True,20
Charles Jourdain,Men’s Bantamweight,1543.2,56.3,1547.21,1547.21,1543.42,3,81.3,72.7,1535.59,86.0,9,7,1,6,8,2026-04-18,121,0.0,True,21
Henry Cejudo,Men’s Bantamweight,1540.34,55.9,1572.89,1572.89,1499.4,7,3.7,16.3,1600.46,92.2,10,6,0,4,4,2025-12-06,254,0.0,True,22
Marlon Vera,Men’s Bantamweight,1538.5,55.6,1557.15,1557.15,1539.26,23,11.0,21.6,1581.78,97.2,15,11,0,11,6,2026-02-28,170,0.0,True,23
Rob Font,Men’s Bantamweight,1537.59,55.5,1551.22,1551.22,1538.03,19,30.3,35.6,1561.14,96.7,12,9,0,7,7,2026-03-07,163,0.0,True,24
Davey Grant,Men’s Bantamweight,1535.49,55.2,1538.83,1538.83,1533.14,16,70.2,64.7,1521.02,96.1,9,7,0,4,6,2026-04-25,114,0.0,True,25
David Martinez,Men’s Bantamweight,1530.96,54.5,1549.53,1549.53,1541.88,3,100.0,75.0,1547.77,65.8,3,0,0,1,3,2026-02-28,170,0.0,True,26
Jean Matsumoto,Men’s Bantamweight,1528.92,54.2,1534.03,1534.03,1539.31,5,64.2,59.5,1532.11,85.4,4,2,0,1,6,2026-06-27,51,0.0,True,27
Elijah Smith,Men’s Bantamweight,1527.84,54.1,1545.22,1545.22,1539.75,3,100.0,75.0,1501.38,65.8,3,0,0,2,3,2026-03-14,156,0.0,True,28
Cody Garbrandt,Men’s Bantamweight,1522.76,53.3,1530.62,1530.62,1527.02,16,36.4,40.1,1536.32,96.1,10,8,0,6,6,2026-07-11,37,0.0,True,29
Javid Basharat,Men’s Bantamweight,1522.35,53.3,1527.85,1527.85,1523.78,6,61.4,57.6,1518.86,86.7,4,2,0,0,6,2026-02-07,191,0.0,True,30
Rinya Nakamura,Men’s Bantamweight,1521.1,53.1,1540.69,1540.69,1535.45,5,72.8,64.3,1492.69,80.3,4,1,0,2,5,2025-08-02,380,8.0,True,31
Said Nurmagomedov,Men’s Bantamweight,1520.15,53.0,1544.29,1544.29,1527.15,10,27.1,33.3,1534.9,94.2,7,4,0,5,5,2025-07-26,387,8.7,True,32
Jonathan Martinez,Men’s Bantamweight,1519.05,52.8,1572.23,1572.23,1538.21,13,43.7,45.4,1554.87,95.3,10,5,0,4,5,2024-11-16,639,33.9,True,33
Ethyn Ewing,Men’s Bantamweight,1517.63,52.6,1533.81,1533.81,1514.04,1,100.0,70.0,1537.81,51.3,2,0,0,1,2,2026-04-04,135,0.0,True,34
Jakub Wiklacz,Men’s Bantamweight,1516.78,52.5,1530.45,1530.45,1526.44,2,100.0,70.0,1499.54,57.1,2,0,0,1,2,2026-02-07,191,0.0,True,35
Aleksandre Topuria,Men’s Bantamweight,1516.43,52.4,1529.54,1529.54,1525.61,2,100.0,70.0,1502.33,57.1,2,0,0,0,2,2025-11-22,268,0.0,True,36
Cody Haddon,Men’s Bantamweight,1516.24,52.4,1529.47,1529.47,1526.53,2,100.0,70.0,1488.46,57.1,2,0,0,1,2,2026-05-30,79,0.0,True,37
SuYoung You,Men’s Bantamweight,1516.09,52.4,1525.68,1525.68,1523.06,4,59.7,55.6,1505.75,73.4,3,1,0,0,4,2026-03-14,156,0.0,True,38
Kyler Phillips,Men’s Bantamweight,1515.61,52.3,1526.64,1526.64,1522.91,10,19.3,27.7,1536.89,94.2,6,4,0,2,5,2026-04-18,121,0.0,True,39
Rafael Estevam,Men’s Bantamweight,1512.95,51.9,1526.38,1526.38,1485.96,1,55.9,53.4,1509.67,61.7,3,1,0,0,4,2026-04-04,135,0.0,True,40
Da'Mon Blackshear,Men’s Bantamweight,1512.53,51.8,1523.63,1523.63,1520.19,10,58.7,56.3,1524.67,94.2,5,4,1,4,9,2025-07-26,387,8.7,True,41
Benardo Sopaj,Men’s Bantamweight,1511.56,51.7,1515.78,1515.78,1514.02,3,85.1,67.6,1500.46,65.8,2,1,0,1,3,2026-05-16,93,0.0,True,42
Rei Tsuruya,Men’s Bantamweight,1510.2,51.5,1516.37,1516.37,1514.04,1,73.2,61.6,1506.11,56.5,2,1,0,1,3,2026-05-30,79,0.0,True,43
Santiago Luna,Men’s Bantamweight,1508.72,51.3,1515.43,1515.43,1511.13,3,56.6,53.3,1521.95,65.8,2,1,0,1,3,2026-06-06,72,0.0,True,44
Colby Thicknesse,Men’s Bantamweight,1508.66,51.3,1512.39,1512.39,1511.29,3,79.9,64.9,1471.61,65.8,2,1,0,0,3,2026-05-02,107,0.0,True,45
Taylor Lapilus,Men’s Bantamweight,1508.41,51.2,1555.18,1555.18,1539.01,7,79.9,71.7,1507.72,92.2,6,2,0,1,4,2024-09-28,688,38.8,True,46
Juan Diaz,Men’s Bantamweight,1508.19,51.2,1516.87,1516.87,1515.12,1,100.0,62.5,1514.45,46.1,1,0,0,1,1,2026-05-16,93,0.0,True,47
Victor Henry,Men’s Bantamweight,1508.05,51.2,1533.93,1533.93,1528.68,6,67.4,61.6,1525.76,86.7,4,2,0,1,6,2025-04-05,499,19.9,True,48
Borislav Nikolic,Men’s Bantamweight,1507.38,51.1,1515.01,1515.01,1513.0,1,100.0,62.5,1500.32,46.1,1,0,0,0,1,2026-08-01,16,0.0,True,49
Lawrence Lui,Men’s Bantamweight,1507.38,51.1,1515.0,1515.0,1513.0,1,100.0,62.5,1500.0,46.1,1,0,0,0,1,2026-01-31,198,0.0,True,50
Hecher Sosa,Men’s Bantamweight,1507.03,51.0,1514.38,1514.38,1512.52,1,100.0,62.5,1485.53,46.1,1,0,0,0,1,2026-03-14,156,0.0,True,51
Abdul Hussein,Men’s Bantamweight,1506.57,51.0,1513.91,1513.91,1512.32,1,100.0,62.5,1450.52,46.1,1,0,0,1,1,2026-07-25,23,0.0,True,52
ChangHo Lee,Men’s Bantamweight,1506.42,50.9,1512.96,1512.96,1512.02,3,51.1,50.6,1490.01,65.8,2,1,0,1,3,2025-11-01,289,0.0,True,53
Cristian Quinonez,Men’s Bantamweight,1501.98,50.3,1499.2,1499.2,1499.29,4,68.5,60.6,1499.71,73.4,2,2,0,1,4,2026-02-28,170,0.0,True,54
Alatengheili,Men’s Bantamweight,1500.31,50.0,1525.91,1525.91,1522.71,9,39.0,42.0,1513.51,93.6,5,3,1,1,4,2025-04-26,478,17.8,True,55
Jafel Filho,Men’s Bantamweight,1499.17,49.9,1503.03,1503.03,1487.54,1,39.7,43.1,1502.59,72.1,3,3,0,3,6,2026-04-25,114,0.0,True,56
Felipe Lima,Men’s Bantamweight,1498.08,49.7,1520.29,1520.29,1488.04,1,53.1,51.6,1547.52,56.5,2,1,0,1,3,2025-06-28,415,11.5,True,57
Malcolm Wellmaker,Men’s Bantamweight,1497.73,49.7,1497.57,1497.57,1511.76,3,34.5,41.1,1495.38,71.0,2,2,0,2,4,2026-05-16,93,0.0,True,58
Kai Asakura,Men’s Bantamweight,1497.59,49.6,1490.81,1490.81,1513.58,1,51.1,50.5,1532.88,56.5,1,2,0,1,3,2026-05-30,79,0.0,True,59
John Garza,Men’s Bantamweight,1494.71,49.2,1488.78,1488.78,1489.42,1,0.0,37.5,1589.43,46.1,0,1,0,0,1,2026-07-11,37,0.0,True,60
Muin Gafurov,Men’s Bantamweight,1494.62,49.2,1492.35,1492.35,1492.98,5,38.5,42.8,1535.54,80.3,2,3,0,0,5,2026-02-07,191,0.0,True,61
Serhiy Sidey,Men’s Bantamweight,1494.35,49.2,1516.24,1516.24,1514.38,3,80.7,65.3,1505.59,65.8,2,1,0,0,3,2025-05-03,471,17.1,True,62
John Yannis,Men’s Bantamweight,1493.45,49.0,1487.17,1487.17,1501.63,2,35.3,42.7,1514.34,62.3,1,2,0,1,3,2026-06-06,72,0.0,True,63
Adrian Luna Martinetti,Men’s Bantamweight,1493.22,49.0,1486.07,1486.07,1487.78,1,0.0,37.5,1524.91,46.1,0,1,0,0,1,2026-04-25,114,0.0,True,64
Sulangrangbo,Men’s Bantamweight,1492.62,48.9,1485.0,1485.0,1487.0,1,0.0,37.5,1500.0,46.1,0,1,0,0,1,2026-01-31,198,0.0,True,65
Timmy Cuamba,Men’s Bantamweight,1492.38,48.9,1487.44,1487.44,1499.34,2,43.7,46.1,1501.63,72.8,2,3,0,1,5,2026-05-16,93,0.0,True,66
Mark Vologdin,Men’s Bantamweight,1491.89,48.8,1485.3,1485.3,1487.0,1,21.6,38.6,1503.41,51.3,0,1,1,0,2,2026-08-01,16,0.0,True,67
Jamie Siraj,Men’s Bantamweight,1491.79,48.8,1483.02,1483.02,1485.96,1,0.0,37.5,1483.16,46.1,0,1,0,0,1,2026-04-18,121,0.0,True,68
Aoriqileng,Men’s Bantamweight,1490.76,48.6,1487.02,1487.02,1508.57,7,39.0,42.0,1497.67,92.2,4,5,0,2,7,2026-05-30,79,0.0,True,69
Patchy Mix,Men’s Bantamweight,1484.56,47.7,1474.86,1474.86,1477.59,2,0.0,30.0,1548.59,57.1,0,2,0,0,2,2025-10-04,317,1.7,True,70
Angel Pacheco,Men’s Bantamweight,1483.76,47.6,1470.76,1470.76,1474.55,2,0.0,30.0,1502.11,57.1,0,2,0,0,2,2026-02-28,170,0.0,True,71
Bekzat Almakhan,Men’s Bantamweight,1482.96,47.5,1476.11,1476.11,1478.32,4,19.0,32.3,1522.03,73.4,1,3,0,1,4,2026-06-27,51,0.0,True,72
Caolan Loughran,Men’s Bantamweight,1481.7,47.3,1502.49,1502.49,1501.42,4,61.0,56.3,1507.19,73.4,2,2,0,0,4,2025-03-22,513,21.3,True,73
Xiao Long,Men’s Bantamweight,1481.66,47.3,1474.52,1474.52,1477.53,4,17.1,31.2,1515.42,73.4,1,3,0,1,4,2026-03-07,163,0.0,True,74
Luan Lacerda,Men’s Bantamweight,1481.32,47.3,1471.16,1471.16,1474.52,4,34.9,41.4,1490.5,73.4,1,3,0,1,4,2026-03-14,156,0.0,True,75
Nathan Fletcher,Men’s Bantamweight,1480.98,47.2,1484.91,1484.91,1473.97,2,22.1,36.0,1505.31,62.3,1,2,0,1,3,2025-08-02,380,8.0,True,76
Carlos Vera,Men’s Bantamweight,1480.73,47.2,1503.1,1503.1,1502.48,2,66.2,56.5,1513.49,57.1,1,1,0,1,2,2025-03-15,520,22.0,True,77
Josias Musasa,Men’s Bantamweight,1480.02,47.1,1468.24,1468.24,1472.53,2,0.0,30.0,1485.58,57.1,0,2,0,0,2,2025-09-27,324,2.4,True,78
Quang Le,Men’s Bantamweight,1478.85,46.9,1474.03,1474.03,1476.2,4,27.7,37.3,1513.75,73.4,1,3,0,1,4,2025-09-13,338,3.8,True,79
Cameron Smotherman,Men’s Bantamweight,1478.68,46.9,1470.32,1470.32,1475.02,4,13.1,28.9,1508.99,73.4,1,3,0,0,4,2026-05-30,79,0.0,True,80
Cameron Saaiman,Men’s Bantamweight,1475.25,46.4,1495.92,1495.92,1497.36,6,25.4,33.6,1507.79,86.7,3,3,0,2,6,2025-04-26,478,17.8,True,81
Pedro Munhoz,Men’s Bantamweight,1472.71,46.0,1517.51,1517.51,1506.89,20,14.0,23.8,1570.2,96.8,10,10,0,6,4,2024-11-02,653,35.3,True,82
Luis Gurule,Men’s Bantamweight,1472.63,46.0,1457.08,1457.08,1485.96,1,25.8,34.9,1497.58,66.9,1,4,0,0,5,2026-05-30,79,0.0,True,83
Toshiomi Kazama,Men’s Bantamweight,1472.36,45.9,1469.73,1469.73,1474.06,4,26.4,36.5,1496.32,73.4,1,3,0,1,4,2025-08-09,373,7.3,True,84
Pedro Falcao,Men’s Bantamweight,1464.33,44.8,1471.53,1471.53,1475.11,2,0.0,30.0,1511.0,57.1,0,2,0,0,2,2025-04-05,499,19.9,True,85
Cortavious Romious,Men’s Bantamweight,1463.65,44.7,1470.1,1470.1,1473.94,2,0.0,30.0,1506.95,57.1,0,2,0,0,2,2025-04-05,499,19.9,True,86
AJ Cunningham,Men’s Bantamweight,1463.42,44.6,1471.52,1471.52,1487.49,1,0.0,30.0,1522.32,51.3,0,2,0,0,2,2025-03-15,520,22.0,True,87
Brad Katona,Men’s Bantamweight,1460.43,44.2,1478.38,1478.38,1473.05,8,26.7,33.0,1493.24,93.0,4,5,0,0,5,2025-05-10,464,16.4,True,88
Kris Moutinho,Men’s Bantamweight,1460.07,44.2,1441.2,1441.2,1448.45,4,0.0,21.4,1501.29,73.4,0,4,0,0,2,2026-02-28,170,0.0,True,89
Baergeng Jieleyisi,Men’s Bantamweight,1459.42,44.1,1485.0,1485.0,1487.0,1,0.0,37.5,1500.0,46.1,0,1,0,0,1,2024-11-23,632,33.2,True,90
Saimon Oliveira,Men’s Bantamweight,1457.66,43.8,1439.23,1439.23,1446.95,4,0.0,21.4,1490.76,73.4,0,4,0,0,3,2025-10-11,310,1.0,True,91
Cody Stamann,Men’s Bantamweight,1456.19,43.6,1495.98,1495.98,1499.63,11,16.3,25.5,1513.33,94.6,7,7,1,1,4,2024-11-09,646,34.6,True,92
Garrett Armfield,Men’s Bantamweight,1452.93,43.1,1483.74,1483.74,1497.48,4,31.9,38.7,1499.31,78.6,2,3,0,1,4,2024-11-02,653,35.3,True,93
Jake Hadley,Men’s Bantamweight,1452.23,43.0,1486.76,1486.76,1499.55,2,37.0,40.9,1498.22,82.5,3,4,0,2,6,2024-10-19,667,36.7,True,94
Chad Anheliger,Men’s Bantamweight,1450.78,42.8,1483.17,1483.17,1485.64,5,31.7,38.5,1489.8,80.3,2,3,0,1,4,2024-11-02,653,35.3,True,95
Cody Gibson,Men’s Bantamweight,1444.51,41.9,1436.61,1436.61,1444.87,11,18.2,26.9,1501.56,94.6,3,8,0,2,7,2026-07-25,23,0.0,True,96
Vince Morales,Men’s Bantamweight,1436.9,40.8,1428.21,1428.21,1444.24,11,3.5,16.2,1518.66,94.6,3,9,0,1,5,2026-05-02,107,0.0,True,97
Dan Argueta,Men’s Bantamweight,1430.75,40.0,1458.12,1458.12,1462.31,3,10.8,25.5,1507.99,76.2,1,4,0,0,5,2024-10-12,674,37.4,True,98
Alexander Volkanovski,Men’s Featherweight,1644.44,70.0,1670.18,1670.18,1656.37,14,75.3,68.4,1613.43,95.6,15,3,0,5,6,2026-01-31,198,0.0,True,1
Movsar Evloev,Men’s Featherweight,1626.68,67.8,1649.05,1649.05,1613.68,9,100.0,86.4,1589.26,93.6,10,0,0,0,4,2026-03-21,149,0.0,True,2
Aljamain Sterling,Men’s Featherweight,1622.06,67.2,1674.61,1674.61,1519.45,3,79.7,71.6,1593.35,86.0,18,5,0,6,7,2026-04-25,114,0.0,True,3
Arnold Allen,Men’s Featherweight,1597.68,64.0,1618.12,1618.12,1602.73,15,57.7,55.6,1586.99,95.9,12,3,0,4,6,2026-05-16,93,0.0,True,4
Lerone Murphy,Men’s Featherweight,1595.22,63.6,1615.78,1615.78,1598.28,11,66.4,62.0,1560.31,94.6,9,1,1,3,7,2026-03-21,149,0.0,True,5
Pat Sabatini,Men’s Featherweight,1585.83,62.4,1597.2,1597.2,1584.96,11,91.5,80.2,1539.93,94.6,9,2,0,3,7,2026-05-09,100,0.0,True,6
Nathaniel Wood,Men’s Featherweight,1585.58,62.3,1603.21,1603.21,1571.37,8,94.0,82.0,1510.79,93.0,11,3,0,3,7,2026-03-21,149,0.0,True,7
Diego Lopes,Men’s Featherweight,1572.6,60.5,1586.29,1586.29,1561.13,9,66.9,62.3,1601.4,93.6,7,3,0,5,10,2026-06-14,64,0.0,True,8
Cub Swanson,Men’s Featherweight,1568.38,59.9,1574.41,1574.41,1576.59,25,79.1,71.1,1532.35,97.4,16,10,0,8,5,2026-04-11,128,0.0,True,9
Jean Silva,Men’s Featherweight,1568.3,59.9,1581.61,1581.61,1557.74,6,78.2,69.7,1561.22,91.2,6,1,0,5,7,2026-01-24,205,0.0,True,10
Steve Garcia,Men’s Featherweight,1562.12,59.0,1575.68,1575.68,1564.49,7,66.0,61.6,1531.47,92.2,8,3,0,7,8,2026-06-14,64,0.0,True,11
Yair Rodriguez,Men’s Featherweight,1561.57,59.0,1595.66,1595.66,1583.3,15,61.1,58.0,1581.5,95.9,11,4,0,5,4,2025-04-12,492,19.2,True,12
Melquizael Costa,Men’s Featherweight,1560.77,58.8,1567.37,1567.37,1575.93,8,70.0,64.6,1546.51,93.0,7,3,0,4,10,2026-05-16,93,0.0,True,13
Joanderson Brito,Men’s Featherweight,1558.35,58.5,1567.02,1567.02,1556.02,10,75.5,68.5,1535.54,94.2,7,3,0,6,8,2026-06-06,72,0.0,True,14
Youssef Zalal,Men’s Featherweight,1554.99,58.0,1565.11,1565.11,1548.93,12,63.7,60.0,1560.56,95.0,8,4,1,4,6,2026-04-25,114,0.0,True,15
Dooho Choi,Men’s Featherweight,1548.68,57.1,1549.47,1549.47,1542.24,10,94.8,82.6,1522.58,94.2,6,3,1,6,4,2026-05-16,93,0.0,True,16
Vinicius Oliveira,Men’s Featherweight,1545.59,56.7,1565.29,1565.29,1514.49,1,75.1,66.7,1553.07,72.1,5,1,0,2,6,2026-06-20,58,0.0,True,17
Kevin Vallejos,Men’s Featherweight,1544.77,56.5,1565.39,1565.39,1555.98,4,100.0,78.6,1538.97,73.4,4,0,0,3,4,2026-03-14,156,0.0,True,18
Chepe Mariscal,Men’s Featherweight,1543.55,56.4,1559.49,1559.49,1540.05,5,62.7,58.4,1535.38,85.4,5,1,0,1,6,2025-11-15,275,0.0,True,19
Brian Ortega,Men’s Featherweight,1542.51,56.2,1562.83,1562.83,1560.78,12,18.9,27.4,1609.02,95.0,8,5,0,7,3,2025-08-23,359,5.9,True,20
Mairon Santos,Men’s Featherweight,1541.2,56.0,1562.76,1562.76,1540.48,3,100.0,78.6,1529.13,71.0,4,0,0,2,4,2025-12-06,254,0.0,True,21
David Onama,Men’s Featherweight,1541.06,56.0,1548.56,1548.56,1541.36,7,62.0,58.7,1535.58,92.2,6,3,0,3,5,2025-11-01,289,0.0,True,22
Jose Aldo,Men’s Featherweight,1538.8,55.7,1572.58,1572.58,1560.79,15,27.3,33.5,1583.05,95.9,14,9,0,4,4,2025-05-10,464,16.4,True,23
Jose Delgado,Men’s Featherweight,1537.09,55.4,1549.08,1549.08,1541.61,5,82.0,70.0,1528.56,80.3,4,1,0,2,5,2026-07-18,30,0.0,True,24
Sean Woodson,Men’s Featherweight,1536.5,55.3,1564.07,1564.07,1569.1,9,65.9,61.5,1522.84,93.6,7,2,1,2,6,2025-04-12,492,19.2,True,25
William Gomis,Men’s Featherweight,1534.16,55.0,1543.75,1543.75,1538.2,7,47.1,47.9,1533.72,92.2,5,2,0,1,7,2026-05-09,100,0.0,True,26
Giga Chikadze,Men’s Featherweight,1533.71,54.9,1550.36,1550.36,1541.99,12,14.2,23.9,1558.33,95.0,8,4,0,3,4,2025-12-13,247,0.0,True,27
Darren Elkins,Men’s Featherweight,1532.65,54.8,1547.06,1547.06,1542.34,29,26.3,32.8,1513.65,97.7,19,12,0,7,5,2026-08-08,9,0.0,True,28
Muhammad Naimov,Men’s Featherweight,1530.5,54.5,1540.03,1540.03,1522.3,6,57.0,54.9,1517.22,91.2,5,2,0,2,7,2025-12-06,254,0.0,True,29
Josh Emmett,Men’s Featherweight,1529.06,54.3,1545.15,1545.15,1530.7,14,12.1,22.4,1574.46,95.6,10,7,0,4,6,2026-03-14,156,0.0,True,30
Luke Riley,Men’s Featherweight,1528.73,54.2,1546.69,1546.69,1540.0,3,100.0,75.0,1511.37,65.8,3,0,0,2,3,2026-07-11,37,0.0,True,31
Yadier del Valle,Men’s Featherweight,1523.16,53.4,1534.32,1534.32,1528.83,4,73.1,63.2,1524.89,73.4,3,1,0,3,4,2026-08-08,9,0.0,True,32
Jamall Emmers,Men’s Featherweight,1521.55,53.2,1519.74,1519.74,1517.18,9,78.1,70.4,1507.04,93.6,5,4,0,2,6,2025-11-08,282,0.0,True,33
Miles Johns,Men’s Featherweight,1521.17,53.1,1531.99,1531.99,1502.11,2,52.9,52.1,1509.43,82.5,8,5,0,3,8,2026-08-08,9,0.0,True,34
Danny Silva,Men’s Featherweight,1520.28,53.0,1530.0,1530.0,1526.51,4,72.7,63.0,1507.71,73.4,3,1,0,1,4,2026-03-21,149,0.0,True,35
Daniel Santos,Men’s Featherweight,1520.06,52.9,1531.52,1531.52,1499.99,2,56.0,54.0,1517.3,77.9,4,2,0,2,5,2026-05-16,93,0.0,True,36
Christian Rodriguez,Men’s Featherweight,1519.44,52.9,1528.92,1528.92,1492.56,7,58.4,56.1,1515.65,92.2,6,4,0,2,9,2026-06-20,58,0.0,True,37
Kaan Ofli,Men’s Featherweight,1517.99,52.6,1520.74,1520.74,1516.07,5,79.8,68.6,1509.43,80.3,3,2,0,2,5,2026-06-27,51,0.0,True,38
Jordan Leavitt,Men’s Featherweight,1517.75,52.6,1526.29,1526.29,1501.14,2,53.2,52.4,1511.74,82.5,6,4,0,4,5,2026-06-06,72,0.0,True,39
Tommy McMillen,Men’s Featherweight,1517.32,52.5,1531.64,1531.64,1527.54,2,100.0,70.0,1500.75,57.1,2,0,0,2,2,2026-07-18,30,0.0,True,40
Marwan Rahiki,Men’s Featherweight,1516.93,52.5,1530.96,1530.96,1527.51,2,100.0,70.0,1492.85,57.1,2,0,0,2,2,2026-05-02,107,0.0,True,41
Jack Jenkins,Men’s Featherweight,1516.81,52.5,1523.43,1523.43,1519.91,6,66.8,61.2,1495.35,86.7,4,2,0,1,6,2025-09-27,324,2.4,True,42
Dan Ige,Men’s Featherweight,1516.12,52.4,1521.8,1521.8,1529.64,20,24.8,31.7,1550.77,96.8,11,10,0,6,9,2026-02-21,177,0.0,True,43
Lerryan Douglas,Men’s Featherweight,1508.58,51.3,1517.7,1517.7,1514.18,1,100.0,62.5,1532.28,46.1,1,0,0,1,1,2026-03-28,142,0.0,True,44
Gaston Bolanos,Men’s Featherweight,1508.46,51.2,1509.85,1509.85,1513.02,1,67.8,61.1,1492.01,66.9,3,2,0,0,5,2026-06-20,58,0.0,True,45
Murtazali Magomedov,Men’s Featherweight,1508.11,51.2,1516.76,1516.76,1514.47,1,100.0,62.5,1512.07,46.1,1,0,0,1,1,2026-06-20,58,0.0,True,46
Keiichiro Nakamura,Men’s Featherweight,1507.81,51.1,1516.2,1516.2,1514.04,1,100.0,62.5,1500.0,46.1,1,0,0,1,1,2026-01-31,198,0.0,True,47
Rodrigo Vera,Men’s Featherweight,1507.81,51.1,1516.2,1516.2,1514.04,1,100.0,62.5,1500.0,46.1,1,0,0,1,1,2026-05-30,79,0.0,True,48
Ezra Elliott,Men’s Featherweight,1507.38,51.1,1515.0,1515.0,1513.0,1,100.0,62.5,1500.0,46.1,1,0,0,0,1,2026-07-18,30,0.0,True,49
Shane Collins,Men’s Featherweight,1507.38,51.1,1515.0,1515.0,1513.0,1,100.0,62.5,1500.0,46.1,1,0,0,0,1,2026-06-20,58,0.0,True,50
Marcio Barbosa,Men’s Featherweight,1507.13,51.0,1514.91,1514.91,1513.61,1,100.0,62.5,1472.34,46.1,1,0,0,1,1,2026-04-18,121,0.0,True,51
Jose Delano,Men’s Featherweight,1507.06,51.0,1514.44,1514.44,1512.57,1,100.0,62.5,1486.91,46.1,1,0,0,0,1,2026-04-04,135,0.0,True,52
Julian Erosa,Men’s Featherweight,1506.29,50.9,1514.58,1514.58,1489.34,14,37.1,40.6,1536.31,95.6,9,9,0,6,8,2026-03-28,142,0.0,True,53
Morgan Charriere,Men’s Featherweight,1504.59,50.7,1507.04,1507.04,1505.71,6,41.0,44.0,1531.38,86.7,3,3,0,3,6,2025-12-13,247,0.0,True,54
Aaron Pico,Men’s Featherweight,1503.68,50.5,1504.64,1504.64,1503.33,2,61.3,54.5,1555.39,57.1,1,1,0,0,2,2026-04-11,128,0.0,True,55
John Castaneda,Men’s Featherweight,1502.74,50.4,1507.05,1507.05,1487.53,1,39.3,42.2,1528.66,76.7,4,4,1,2,6,2026-04-18,121,0.0,True,56
