fighter,division,sample,data_completeness,td_attempts_per15,td_landed_per15,td_accuracy,repeat_attempt_rate,control_per15,control_seconds_per_td_landed,td_defense,opponent_td_attempts_per15,opponent_control_per15,opponent_control_seconds_per_td_allowed,sub_attempts_per15,opponent_sub_attempts_per15,submission_loss_rate,active_wrestling_rounds,repeat_attempt_rounds,td_attempts_per15_pct,td_landed_per15_pct,td_accuracy_pct,repeat_attempt_rate_pct,control_per15_pct,control_seconds_per_td_landed_pct,td_defense_pct,opponent_control_per15_pct,opponent_control_seconds_per_td_allowed_pct,sub_attempts_per15_pct,opponent_sub_attempts_per15_pct,submission_loss_rate_pct,chain_wrestling_score,control_retention_score,takedown_resistance_score,bottom_escape_score,submission_pressure_score,submission_resistance_score
Merab Dvalishvili,Men’s Bantamweight,8,1.0,17.589864466705954,4.949911608721273,0.2814070351758794,0.9117647058823529,4.463759575721863,54.107142857142854,0.75,3.1820860341779613,0.7469063052445493,56.333333333333336,0.3535651149086623,0.0,0.0,34,31,100.0,95.91836734693877,36.666666666666664,88.88888888888889,79.59183673469387,11.25,65.59139784946237,85.71428571428571,81.17647058823529,61.224489795918366,81.12244897959184,62.244897959183675,75.18518518518518,45.420918367346935,75.65284178187403,83.4453781512605,70.40816326530611,75.60424169667867
Sean O'Malley,Men’s Bantamweight,8,1.0,0.1274065685164213,0.0,0.0,0.0,0.053086070215175536,,0.5918367346938775,6.242921857304643,3.1766704416761042,74.8,0.0,0.1274065685164213,0.5,1,0,9.183673469387756,9.693877551020408,6.111111111111111,7.222222222222221,3.061224489795918,,38.70967741935484,37.755102040816325,58.82352941176471,19.387755102040817,58.163265306122454,10.204081632653063,7.505668934240362,3.061224489795918,38.232389730085586,48.28931572629052,11.224489795918368,38.88555422168867
Petr Yan,Men’s Bantamweight,8,1.0,3.6176470588235294,1.4117647058823528,0.3902439024390244,0.45,2.277941176470588,96.8125,0.8503937007874016,11.205882352941178,2.3058823529411763,82.52631578947368,0.08823529411764705,0.1764705882352941,0.0,20,9,50.0,54.08163265306123,66.66666666666666,32.22222222222222,46.93877551020408,46.25,81.72043010752688,50.0,50.58823529411765,38.775510204081634,51.02040816326531,62.244897959183675,49.629629629629626,46.59438775510204,65.86021505376344,50.294117647058826,42.85714285714286,54.519807923169274
Mario Bautista,Men’s Bantamweight,8,1.0,8.004527813712807,2.6196636481241913,0.32727272727272727,0.8571428571428571,3.3982858990944376,77.83333333333333,0.5365853658536586,5.967011642949547,2.8961836998706336,62.8421052631579,1.01875808538163,0.0,0.0,14,12,79.59183673469387,77.55102040816327,47.77777777777778,82.22222222222221,63.26530612244898,25.0,28.49462365591398,42.85714285714286,74.11764705882352,83.6734693877551,81.12244897959184,62.244897959183675,69.86394557823128,44.13265306122449,35.67588325652842,58.48739495798319,73.46938775510205,67.28491396558623
Umar Nurmagomedov,Men’s Bantamweight,8,1.0,7.886925795053004,3.6890459363957593,0.46774193548387094,0.7391304347826086,5.868551236749116,95.44827586206897,0.7941176470588236,4.3250883392226145,0.43886925795053006,29.571428571428573,0.127208480565371,0.127208480565371,0.0,23,17,76.53061224489795,91.83673469387756,78.88888888888889,68.88888888888889,92.85714285714286,43.75,73.11827956989248,91.83673469387755,97.6470588235294,44.89795918367347,59.183673469387756,62.244897959183675,74.7694633408919,68.30357142857143,82.477507131885,94.74189675870348,68.87755102040816,72.05682272909164
Song Yadong,Men’s Bantamweight,8,1.0,2.683654106804012,1.0978584982380049,0.4090909090909091,0.5,2.065600433721876,112.88888888888889,0.8378378378378378,4.51341827053402,0.8538899430740038,70.0,0.12198427758200055,0.0,0.0,12,6,38.775510204081634,46.93877551020408,70.0,38.88888888888889,41.83673469387755,55.00000000000001,79.56989247311827,81.63265306122449,68.23529411764706,42.857142857142854,81.12244897959184,62.244897959183675,49.22146636432351,48.41836734693878,80.60127276717138,74.93397358943577,42.3469387755102,72.76710684273709
Farid Basharat,Men’s Bantamweight,7,1.0,10.344827586206897,3.660477453580902,0.35384615384615387,0.75,4.80106100795756,78.69565217391305,0.5454545454545454,3.50132625994695,1.4403183023872679,54.3,0.3183023872679045,0.3183023872679045,0.0,16,12,88.77551020408163,90.81632653061224,58.88888888888889,71.11111111111111,84.6938775510204,27.500000000000004,30.107526881720432,67.34693877551021,83.52941176470587,59.183673469387756,43.87755102040817,62.244897959183675,72.92517006802721,56.0969387755102,48.72723282861532,75.43817527010805,71.93877551020408,60.52020808323329
Raoni Barcelos,Men’s Bantamweight,8,1.0,11.383510306058714,3.232354778263585,0.2839506172839506,0.7727272727272727,4.20206121174266,78.0,0.8518518518518519,3.7945034353529046,1.126639600249844,120.25,0.8432229856339788,0.0,0.0,22,17,91.83673469387756,86.73469387755102,37.77777777777778,74.44444444444444,77.55102040816327,26.25,82.79569892473118,77.55102040816325,32.94117647058824,78.57142857142857,81.12244897959184,62.244897959183675,68.01965230536659,51.900510204081634,80.17335966644723,55.24609843937574,78.06122448979592,66.20448179271709
Bryce Mitchell,Men’s Bantamweight,8,1.0,9.720670391061452,3.016759776536313,0.3103448275862069,0.6666666666666666,8.743016759776536,173.88888888888889,1.0,0.1675977653631285,1.393854748603352,,0.5027932960893855,1.1731843575418994,0.6666666666666666,18,12,87.75510204081633,84.6938775510204,43.333333333333336,60.0,98.9795918367347,82.5,96.23655913978494,70.40816326530611,,67.3469387755102,9.183673469387747,6.1224489795918275,63.69614512471656,90.73979591836735,83.32236120254552,70.40816326530611,83.16326530612244,28.571428571428566
Cory Sandhagen,Men’s Bantamweight,8,1.0,4.168309026409145,1.330311391407174,0.3191489361702128,0.6818181818181818,3.3183878596767835,149.66666666666666,0.5365853658536586,7.272368939692551,2.054592037839969,36.578947368421055,0.0886874260938116,0.44343713046905797,0.0,22,15,55.10204081632652,53.06122448979592,46.666666666666664,63.33333333333333,61.224489795918366,73.75,28.49462365591398,53.061224489795926,96.47058823529412,39.795918367346935,36.73469387755102,62.244897959183675,55.03401360544217,67.48724489795919,40.77792407285495,74.76590636254502,50.51020408163265,57.91516606642657
