fighter,division,sample,minutes,data_completeness,sig_landed_per_min,sig_attempted_per_min,sig_absorbed_per_min,sig_diff_per_min,sig_accuracy,sig_defense,kd_per15,kd_absorbed_per15,td_per15,td_accuracy,td_defense,sub_attempts_per15,control_share,finish_loss_rate,ground_strike_share,clinch_strike_share,distance_strike_share,sig_diff_per_min_pct,sig_accuracy_pct,sig_defense_pct,kd_per15_pct,td_per15_pct,td_accuracy_pct,td_defense_pct,sub_attempts_per15_pct,control_share_pct,kd_absorbed_per15_pct,finish_loss_rate_pct,sig_attempted_per_min_pct,striking_score,wrestling_score,grappling_score,durability_score,pace_score
Merab Dvalishvili,Men’s Bantamweight,8,169.7,1.0,4.543311726576311,10.86034177961108,3.1997642899233942,1.343547436652917,0.4183396635919696,0.49953917050691243,0.0,0.0,4.949911608721273,0.2814070351758794,0.75,0.3535651149086623,0.8566581849024597,0.0,0.10894941634241245,0.15953307392996108,0.7315175097276264,92.04545454545455,47.34848484848485,31.439393939393938,25.946969696969695,96.5909090909091,42.38683127572017,77.3469387755102,59.84848484848485,92.04545454545455,79.3560606060606,82.95454545454545,85.60606060606061,49.19507575757576,77.09253342189851,82.82828282828284,64.58333333333333,85.60606060606061
Sean O'Malley,Men’s Bantamweight,8,117.73333333333333,1.0,4.5101925254813136,7.814269535673839,3.3295583238958097,1.1806342015855038,0.5771739130434783,0.5344418052256532,0.2548131370328426,0.0,0.0,0.0,0.5918367346938775,0.0,0.01643655489809336,0.5,0.030131826741996232,0.01694915254237288,0.9529190207156308,89.77272727272727,96.21212121212122,51.515151515151516,64.01515151515152,10.037878787878787,6.584362139917696,49.795918367346935,20.454545454545457,4.166666666666666,79.3560606060606,40.34090909090909,53.40909090909091,75.37878787878788,17.646206490452524,11.553030303030305,57.07070707070707,53.40909090909091
Petr Yan,Men’s Bantamweight,8,170.0,1.0,4.617647058823529,8.023529411764706,4.7,-0.08235294117647118,0.5755131964809385,0.5794736842105264,0.08823529411764705,0.0,1.4117647058823528,0.3902439024390244,0.8503937007874016,0.08823529411764705,0.49695219762592235,0.0,0.048407643312101914,0.11082802547770701,0.8407643312101911,62.878787878787875,95.83333333333334,70.45454545454545,51.89393939393939,57.95454545454546,61.31687242798354,88.57142857142857,40.909090909090914,54.166666666666664,79.3560606060606,82.95454545454545,58.71212121212122,70.26515151515152,65.50237828015607,51.01010101010101,77.58838383838383,58.71212121212122
Mario Bautista,Men’s Bantamweight,8,103.06666666666666,1.0,5.481888745148771,10.876455368693403,4.298188874514877,1.1836998706338937,0.504014272970562,0.5380604796663191,0.29107373868046577,0.0,2.6196636481241913,0.32727272727272727,0.5365853658536586,1.01875808538163,0.5398843930635838,0.0,0.05486725663716814,0.0920353982300885,0.8530973451327434,90.15151515151516,77.65151515151516,52.27272727272727,68.93939393939394,79.92424242424242,48.559670781893004,41.83673469387755,83.71212121212122,60.22727272727273,79.3560606060606,82.95454545454545,85.98484848484848,72.25378787878788,57.63698015682142,74.62121212121212,71.52777777777777,85.98484848484848
Umar Nurmagomedov,Men’s Bantamweight,8,117.91666666666667,1.0,3.9349823321554767,6.996466431095406,1.9420494699646642,1.9929328621908124,0.5624242424242424,0.6038062283737025,0.127208480565371,0.254416961130742,3.6890459363957593,0.46774193548387094,0.7941176470588236,0.127208480565371,0.9304201680672269,0.0,0.2801724137931034,0.04956896551724138,0.6702586206896551,96.96969696969697,94.31818181818183,81.06060606060606,53.03030303030303,93.18181818181817,74.8971193415638,82.44897959183673,43.56060606060606,96.21212121212122,49.24242424242424,82.95454545454545,42.04545454545455,81.34469696969697,86.68500958183498,77.65151515151514,71.08585858585859,42.04545454545455
Song Yadong,Men’s Bantamweight,8,122.96666666666668,1.0,3.9034968826240166,8.69341284901057,3.8465708864190833,0.05692599620493333,0.4490177736202058,0.5052301255230125,0.3659528327460016,0.0,1.0978584982380046,0.4090909090909091,0.8378378378378378,0.12198427758200052,0.7075208913649025,0.3333333333333333,0.09375,0.04791666666666667,0.8583333333333333,66.28787878787878,61.36363636363637,35.984848484848484,71.5909090909091,51.89393939393939,65.02057613168725,87.34693877551021,42.42424242424242,79.16666666666666,79.3560606060606,55.68181818181818,65.9090909090909,58.80681818181818,70.85703024195087,57.82828282828282,57.00757575757575,65.9090909090909
Farid Basharat,Men’s Bantamweight,7,94.25,1.0,3.9363395225464193,7.681697612732095,3.4694960212201593,0.46684350132625996,0.5124309392265194,0.6088516746411483,0.0,0.0,3.660477453580902,0.35384615384615387,0.5454545454545454,0.3183023872679045,0.7692307692307693,0.0,0.09433962264150944,0.07547169811320754,0.8301886792452831,76.13636363636364,81.81818181818183,82.57575757575758,25.946969696969695,92.04545454545455,55.55555555555556,42.6530612244898,58.71212121212122,84.84848484848484,79.3560606060606,82.95454545454545,51.89393939393939,66.61931818181819,68.77563904349618,78.53535353535354,81.62878787878788,51.89393939393939
Raoni Barcelos,Men’s Bantamweight,8,106.73333333333333,1.0,3.532167395377889,6.820737039350406,3.0637101811367895,0.46845721424109943,0.5178571428571429,0.5922693266832918,0.1405371642723298,0.4216114928169894,3.232354778263585,0.2839506172839506,0.8518518518518519,0.8432229856339788,0.7885714285714286,0.5,0.19363395225464192,0.09018567639257294,0.7161803713527851,76.51515151515152,83.33333333333334,76.89393939393939,54.166666666666664,86.36363636363636,42.79835390946502,88.9795918367347,78.78787878787878,87.12121212121212,37.12121212121212,40.34090909090909,40.909090909090914,72.72727272727273,76.31569855776205,84.09090909090908,51.4520202020202,40.909090909090914
Bryce Mitchell,Men’s Bantamweight,8,89.5,1.0,2.122905027932961,3.7206703910614527,1.541899441340782,0.581005586592179,0.5705705705705706,0.5818181818181818,0.1675977653631285,0.670391061452514,3.016759776536313,0.3103448275862069,1.0,0.5027932960893855,0.862496555524938,1.0,0.20526315789473684,0.11578947368421053,0.6789473684210526,78.4090909090909,95.07575757575758,72.72727272727273,56.81818181818182,85.60606060606061,45.67901234567901,97.34693877551021,67.42424242424242,93.18181818181817,25.757575757575754,9.469696969696972,10.227272727272728,75.75757575757576,80.453457477267,82.07070707070706,35.984848484848484,10.227272727272728
Cory Sandhagen,Men’s Bantamweight,8,169.13333333333333,1.0,4.251083957430036,9.678754434371305,3.5593220338983054,0.6917619235317307,0.4392180818570556,0.525236593059937,0.0,0.1773748521876232,1.330311391407174,0.3191489361702128,0.5365853658536586,0.0886874260938116,0.6176066024759285,0.0,0.10570236439499305,0.03337969401947149,0.8609179415855355,79.92424242424242,57.1969696969697,46.21212121212121,25.946969696969695,55.68181818181818,47.94238683127572,41.83673469387755,41.28787878787879,70.07575757575758,53.40909090909091,82.95454545454545,75.0,52.32007575757576,53.88417432068226,55.68181818181819,60.858585858585855,75.0
