season,games,winner_accuracy
2019,266,0.6127819548872181
2020,268,0.6716417910447762
2021,284,0.6232394366197183
2022,282,0.6170212765957447
2023,285,0.6
2024,285,0.6631578947368421
2025,284,0.6232394366197183
