bucket,games,avg_predicted_probability,actual_home_win_rate,calibration_gap
<45%,633,0.3128849631992752,0.35545023696682465,-0.04256527376754943
45-50%,179,0.473922350160309,0.5027932960893855,-0.02887094592907652
50-55%,161,0.5248177898630421,0.4782608695652174,0.046556920297824655
55-60%,187,0.5756654428686421,0.5401069518716578,0.03555849099698427
60-65%,162,0.6264766240749908,0.6234567901234568,0.0030198339515340455
65-70%,135,0.6749625516765083,0.6222222222222222,0.05274032945428608
70-75%,141,0.7225748818499296,0.6737588652482269,0.04881601660170265
75-80%,142,0.7749160088046586,0.7323943661971831,0.042521642607475485
80%+,214,0.8686128476668511,0.8037383177570093,0.06487452990984177
