season,denominator,games,log_loss,brier,mean_probability,actual_home_win_rate
2019,8.25,266,0.6465117179011076,0.22766231948204324,0.5499050821779948,0.5225563909774437
2020,8.25,268,0.6368219942062097,0.2197016948735317,0.5465789908685664,0.5
2021,8.25,284,0.6899559503607092,0.24057673935020357,0.544840967841474,0.5176056338028169
2022,8.25,282,0.6444710809345859,0.22743772511553775,0.5452193189704372,0.5673758865248227
2023,8.25,285,0.6753929111851735,0.23932467329444962,0.547878633826986,0.5649122807017544
2024,8.25,285,0.6319705950675539,0.21911282620654868,0.5408798991256362,0.5473684210526316
2025,8.25,284,0.6339004679724581,0.22227989070311752,0.5419226648459352,0.5352112676056338
