bucket,games,avg_model_probability,actual_win_rate,calibration_gap
50-55%,477,0.5254079724054257,0.5136268343815513,0.011781138023874371
55-60%,406,0.5747740066447469,0.5985221674876847,-0.02374816084293785
60-65%,337,0.6234140799736426,0.6409495548961425,-0.01753547492249985
65-70%,288,0.6732750260841357,0.6631944444444444,0.010080581639691277
70-75%,194,0.722827915522545,0.7422680412371134,-0.019440125714568435
75-80%,120,0.772683849780936,0.725,0.04768384978093598
80-85%,89,0.8230308228354407,0.7865168539325843,0.03651396890285641
85-90%,37,0.8700757670209827,0.8108108108108109,0.059264956210171804
90%+,6,0.9099734819201685,0.8333333333333334,0.0766401485868351
