bucket,games,avg_model_probability,actual_win_rate,calibration_gap
50-55%,495,0.5247520300970446,0.5191919191919192,0.005560110905125426
55-60%,444,0.5745192346849206,0.5968468468468469,-0.022327612161926247
60-65%,339,0.6243656287406742,0.6489675516224189,-0.024601922881744676
65-70%,283,0.672920522488146,0.6678445229681979,0.005075999519948193
70-75%,176,0.7223691155822646,0.7727272727272727,-0.05035815714500813
75-80%,114,0.7728511698934365,0.6842105263157895,0.088640643577647
80-85%,77,0.8224395284735777,0.8441558441558441,-0.021716315682266396
85-90%,24,0.8719649465706256,0.7916666666666666,0.08029827990395899
90%+,2,0.904711743312584,1.0,-0.09528825668741603
