season,denominator,games,log_loss,brier,mean_probability,actual_home_win_rate
2019,12.1,266,0.6373846273649105,0.22418417395361262,0.5374204968571403,0.5225563909774437
2020,12.1,268,0.6335715939346793,0.2204439745652378,0.5346866058102691,0.5
2021,12.1,284,0.6653491846705726,0.23463631265781576,0.5335609002393567,0.5176056338028169
2022,12.1,282,0.6435506943490341,0.226638686471856,0.5334131384086667,0.5673758865248227
2023,12.1,285,0.6607628942741346,0.23426897871048327,0.535370038732862,0.5649122807017544
2024,12.1,285,0.6280853091404227,0.21874122662560616,0.5315096591084979,0.5473684210526316
2025,12.1,284,0.6309811105552885,0.22090617341054067,0.5315949324344154,0.5352112676056338
