bucket,games,avg_model_probability,actual_win_rate,calibration_gap
50-55%,340,0.5254810690860425,0.48823529411764705,0.037245774968395484
55-60%,325,0.5749121661075599,0.56,0.014912166107559854
60-65%,301,0.6255520918164241,0.6411960132890365,-0.0156439214726124
65-70%,237,0.6749089731205804,0.6371308016877637,0.0377781714328167
70-75%,234,0.7224447731569565,0.6666666666666666,0.055778106490289914
75-80%,205,0.7742893098676331,0.697560975609756,0.07672833425787706
80-85%,130,0.8245298782860168,0.7846153846153846,0.039914493670632156
85-90%,106,0.8739559855809448,0.6981132075471698,0.17584277803377502
90%+,76,0.925079346551929,0.8421052631578947,0.08297408339403434
