tourney_date,tourney_name,surface,tourney_level,round,winner_name,loser_name,winner_rank,loser_rank,score,winner_age,loser_age,w_ace,l_ace,w_df,l_df,w_svpt,l_svpt,w_1stIn,l_1stIn,w_1stWon,l_1stWon,w_2ndWon,l_2ndWon,w_SvGms,l_SvGms,w_bpSaved,l_bpSaved,w_bpFaced,l_bpFaced
20231231,Brisbane International,Hard,A,R128,Popyrin A.,O Connell C.,40,68.0,6-4 6-7 7-6,,,,,,,,,,,,,,,,,,,,
20231231,Brisbane International,Hard,A,R128,Shevchenko A.,Van Assche L.,48,90.0,6-3 6-2,,,,,,,,,,,,,,,,,,,,
20240101,Brisbane International,Hard,A,R128,Safiullin R.,Shelton B.,39,17.0,6-3 6-7 6-3,,,,,,,,,,,,,,,,,,,,
20240101,Brisbane International,Hard,A,R128,Rune H.,Purcell M.,8,45.0,4-6 6-4 6-2,,,,,,,,,,,,,,,,,,,,
20240101,Brisbane International,Hard,A,R128,Dimitrov G.,Murray A.,14,42.0,4-6 7-5 6-2,,,,,,,,,,,,,,,,,,,,
20240102,Brisbane International,Hard,A,R128,Hanfmann Y.,Korda S.,51,24.0,7-5 6-4,,,,,,,,,,,,,,,,,,,,
20240102,Brisbane International,Hard,A,R128,Klein L.,Baez S.,170,28.0,4-6 6-3 6-4,,,,,,,,,,,,,,,,,,,,
20240102,Brisbane International,Hard,A,R128,Duckworth J.,Wolf J.J.,116,53.0,6-3 6-4,,,,,,,,,,,,,,,,,,,,
20240102,Brisbane International,Hard,A,R128,Altmaier D.,Tu L.,56,225.0,7-6 7-6,,,,,,,,,,,,,,,,,,,,
20240102,Brisbane International,Hard,A,R128,Machac T.,Etcheverry T.,78,30.0,6-7 7-5 7-6,,,,,,,,,,,,,,,,,,,,
20240102,Brisbane International,Hard,A,R128,Thompson J.,Vukic A.,55,62.0,6-3 6-2,,,,,,,,,,,,,,,,,,,,
20240102,Brisbane International,Hard,A,R128,Kubler J.,Karatsev A.,102,35.0,6-4 6-7,,,,,,,,,,,,,,,,,,,,
20240102,Brisbane International,Hard,A,R128,Arnaldi M.,Fucsovics M.,44,59.0,6-7 6-4 7-6,,,,,,,,,,,,,,,,,,,,
20240102,Brisbane International,Hard,A,R128,Nadal R.,Thiem D.,672,98.0,7-5 6-1,,,,,,,,,,,,,,,,,,,,
20240102,Brisbane International,Hard,A,R128,Hijikata R.,Kokkinakis T.,71,65.0,7-6 6-2,,,,,,,,,,,,,,,,,,,,
20240103,Brisbane International,Hard,A,R128,Humbert U.,Michelsen A.,20,97.0,6-4 6-4,,,,,,,,,,,,,,,,,,,,
20240103,Brisbane International,Hard,A,R64,Duckworth J.,Hanfmann Y.,116,51.0,4-6 6-1 7-6,,,,,,,,,,,,,,,,,,,,
20240103,Brisbane International,Hard,A,R64,Arnaldi M.,Klein L.,44,170.0,6-4 3-6 7-5,,,,,,,,,,,,,,,,,,,,
20240103,Brisbane International,Hard,A,R64,Safiullin R.,Popyrin A.,39,40.0,6-7 6-4 7-6,,,,,,,,,,,,,,,,,,,,
20240103,Brisbane International,Hard,A,R64,Rune H.,Shevchenko A.,8,48.0,6-4 5-7 6-2,,,,,,,,,,,,,,,,,,,,
20240104,Brisbane International,Hard,A,R64,Hijikata R.,Machac T.,71,78.0,5-7 6-2 7-6,,,,,,,,,,,,,,,,,,,,
20240104,Brisbane International,Hard,A,R64,Thompson J.,Humbert U.,55,20.0,,,,,,,,,,,,,,,,,,,,,
20240104,Brisbane International,Hard,A,R64,Dimitrov G.,Altmaier D.,14,56.0,6-1 6-2,,,,,,,,,,,,,,,,,,,,
20240104,Brisbane International,Hard,A,R64,Nadal R.,Kubler J.,672,102.0,6-1 6-2,,,,,,,,,,,,,,,,,,,,
20240105,Brisbane International,Hard,A,QF,Safiullin R.,Arnaldi M.,39,44.0,7-6 6-2,,,,,,,,,,,,,,,,,,,,
20240105,Brisbane International,Hard,A,QF,Rune H.,Duckworth J.,8,116.0,6-2 7-6,,,,,,,,,,,,,,,,,,,,
20240105,Brisbane International,Hard,A,QF,Dimitrov G.,Hijikata R.,14,71.0,6-1 6-4,,,,,,,,,,,,,,,,,,,,
20240105,Brisbane International,Hard,A,QF,Thompson J.,Nadal R.,55,672.0,5-7 7-6 6-3,,,,,,,,,,,,,,,,,,,,
20240106,Brisbane International,Hard,A,SF,Rune H.,Safiullin R.,8,39.0,6-4 7-6,,,,,,,,,,,,,,,,,,,,
20240106,Brisbane International,Hard,A,SF,Dimitrov G.,Thompson J.,14,55.0,6-3 7-5,,,,,,,,,,,,,,,,,,,,
20240107,Brisbane International,Hard,A,F,Dimitrov G.,Rune H.,14,8.0,7-6 6-4,,,,,,,,,,,,,,,,,,,,
20240101,Hong Kong Tennis Open,Hard,A,R128,Shang J.,Djere L.,183,33.0,6-7 6-3 7-6,,,,,,,,,,,,,,,,,,,,
20240101,Hong Kong Tennis Open,Hard,A,R128,Kotov P.,Borges N.,67,66.0,6-2 6-4,,,,,,,,,,,,,,,,,,,,
20240101,Hong Kong Tennis Open,Hard,A,R128,Ruusuvuori E.,Bonzi B.,69,73.0,6-7 6-2 6-1,,,,,,,,,,,,,,,,,,,,
20240101,Hong Kong Tennis Open,Hard,A,R128,Van De Zandschulp B.,Mochizuki S.,50,137.0,7-5 6-1,,,,,,,,,,,,,,,,,,,,
20240102,Hong Kong Tennis Open,Hard,A,R128,Kecmanovic M.,Daniel T.,54,75.0,6-3 6-2,,,,,,,,,,,,,,,,,,,,
20240102,Hong Kong Tennis Open,Hard,A,R128,Broady L.,Cachin P.,108,70.0,6-4 6-0,,,,,,,,,,,,,,,,,,,,
20240102,Hong Kong Tennis Open,Hard,A,R128,Ofner S.,Mcdonald M.,43,41.0,6-1 6-2,,,,,,,,,,,,,,,,,,,,
20240102,Hong Kong Tennis Open,Hard,A,R128,Struff J.L.,Cilic M.,25,674.0,3-6 7-6 7-6,,,,,,,,,,,,,,,,,,,,
20240102,Hong Kong Tennis Open,Hard,A,R128,Bautista Agut R.,Marozsan F.,57,64.0,6-2 6-3,,,,,,,,,,,,,,,,,,,,
20240102,Hong Kong Tennis Open,Hard,A,R128,Huesler M.A.,Sachko V.,194,169.0,6-4 6-4,,,,,,,,,,,,,,,,,,,,
20240102,Hong Kong Tennis Open,Hard,A,R128,Fils A.,Gojo B.,36,72.0,6-3 4-6 6-1,,,,,,,,,,,,,,,,,,,,
20240102,Hong Kong Tennis Open,Hard,A,R128,Musetti L.,Wong C.,27,253.0,6-4 7-5,,,,,,,,,,,,,,,,,,,,
20240103,Hong Kong Tennis Open,Hard,A,R64,Shang J.,Van De Zandschulp B.,183,50.0,6-7 7-6 7-6,,,,,,,,,,,,,,,,,,,,
20240103,Hong Kong Tennis Open,Hard,A,R64,Tiafoe F.,Kecmanovic M.,16,54.0,6-3 7-6,,,,,,,,,,,,,,,,,,,,
20240103,Hong Kong Tennis Open,Hard,A,R64,Ruusuvuori E.,Khachanov K.,69,15.0,7-6 2-6 6-2,,,,,,,,,,,,,,,,,,,,
20240103,Hong Kong Tennis Open,Hard,A,R64,Kotov P.,Musetti L.,67,27.0,6-4 6-3,,,,,,,,,,,,,,,,,,,,
20240104,Hong Kong Tennis Open,Hard,A,R64,Ofner S.,Struff J.L.,43,25.0,6-7 7-6 7-6,,,,,,,,,,,,,,,,,,,,
20240104,Hong Kong Tennis Open,Hard,A,R64,Bautista Agut R.,Cerundolo F.,57,21.0,7-5 6-3,,,,,,,,,,,,,,,,,,,,
20240104,Hong Kong Tennis Open,Hard,A,R64,Fils A.,Huesler M.A.,36,194.0,7-5 7-5,,,,,,,,,,,,,,,,,,,,
20240104,Hong Kong Tennis Open,Hard,A,R64,Rublev A.,Broady L.,5,108.0,6-4 7-6,,,,,,,,,,,,,,,,,,,,
20240105,Hong Kong Tennis Open,Hard,A,QF,Ruusuvuori E.,Kotov P.,69,67.0,6-3 7-6,,,,,,,,,,,,,,,,,,,,
20240105,Hong Kong Tennis Open,Hard,A,QF,Ofner S.,Bautista Agut R.,43,57.0,6-4 6-4,,,,,,,,,,,,,,,,,,,,
20240105,Hong Kong Tennis Open,Hard,A,QF,Shang J.,Tiafoe F.,183,16.0,6-4 6-4,,,,,,,,,,,,,,,,,,,,
20240105,Hong Kong Tennis Open,Hard,A,QF,Rublev A.,Fils A.,5,36.0,6-4 1-6 6-2,,,,,,,,,,,,,,,,,,,,
20240106,Hong Kong Tennis Open,Hard,A,SF,Ruusuvuori E.,Ofner S.,69,43.0,4-6 7-5 6-3,,,,,,,,,,,,,,,,,,,,
20240106,Hong Kong Tennis Open,Hard,A,SF,Rublev A.,Shang J.,5,183.0,4-6 6-2 6-3,,,,,,,,,,,,,,,,,,,,
20240107,Hong Kong Tennis Open,Hard,A,F,Rublev A.,Ruusuvuori E.,5,69.0,6-4 6-4,,,,,,,,,,,,,,,,,,,,
20240108,Adelaide International,Hard,A,R128,Draper J.,Baez S.,62,26.0,6-1 6-3,,,,,,,,,,,,,,,,,,,,
